Rank,Title,Year,Composer(s),Lyricist(s),URL
72,More Than You Know,1929,Vincent Youmans,"Edward Eliscu, Billy Rose",https://www.jazzstandards.com/compositions-0/morethanyouknow.htm
73,I Got Rhythm,1930,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/igotrhythm.htm
74,Just One of Those Things,1935,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-0/justoneofthosethings.htm
75,Mean to Me,1929,"Fred Ahlert, Roy Turk","Fred Ahlert, Roy Turk",https://www.jazzstandards.com/compositions-0/meantome.htm
76,September Song,1938,Kurt Weill,Maxwell Anderson,https://www.jazzstandards.com/compositions-0/septembersong.htm
77,Someone to Watch Over Me,1926,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/someonetowatchoverme.htm
78,I've Found a New Baby,1926,"Jack Palmer, Spencer Williams","Jack Palmer, Spencer Williams",https://www.jazzstandards.com/compositions-0/ivefoundanewbaby.htm
79,Polka Dots and Moonbeams,1940,Jimmy Van Heusen,Johnny Burke,https://www.jazzstandards.com/compositions-0/polkadotsandmoonbeams.htm
80,Easy Living,1937,Ralph Rainger,Leo Robin,https://www.jazzstandards.com/compositions-0/easyliving.htm
81,Pennies from Heaven,1936,Arthur Johnston,Johnny Burke,https://www.jazzstandards.com/compositions-0/penniesfromheaven.htm
82,I Didn't Know What Time It Was,1939,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-0/ididntknowwhattimeitwas.htm
83,Memories of You,1930,Eubie Blake,Andy Razaf,https://www.jazzstandards.com/compositions-0/memoriesofyou.htm
84,It Don't Mean a Thing,1932,Duke Ellington,Irving Mills,https://www.jazzstandards.com/compositions-0/itdontmeanathing.htm
85,Just Friends,1931,John Klenner,Sam M. Lewis,https://www.jazzstandards.com/compositions-0/justfriends.htm
86,They Can't Take That Away from Me,1937,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/theycanttakethatawayfromme.htm
87,Star Eyes,1943,"Gene De Paul, Don Raye","Gene De Paul, Don Raye",https://www.jazzstandards.com/compositions-0/stareyes.htm
88,A Foggy Day,1937,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/afoggyday.htm
89,Alone Together,1932,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-0/alonetogether.htm
90,"Just You, Just Me",1929,Jesse Greer,Raymond Klages,https://www.jazzstandards.com/compositions-0/justyoujustme.htm
91,My Romance,1935,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-0/myromance.htm
92,Things Ain't What They Used to Be,1942,Mercer Ellington,Ted Persons,https://www.jazzstandards.com/compositions-0/thingsaintwhattheyusedtobe.htm
93,Do Nothin' Till You Hear from Me,1943,Duke Ellington,Bob Russell,https://www.jazzstandards.com/compositions-0/donothintillyouhearfromme.htm
94,Blue Moon,1934,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-0/bluemoon.htm
95,I Surrender Dear,1931,Harry Barris,Gordon Clifford,https://www.jazzstandards.com/compositions-0/isurrenderdear.htm
96,You Stepped Out of a Dream,1940,Nacio Herb Brown,Gus Kahn,https://www.jazzstandards.com/compositions-0/yousteppedoutofadream.htm
97,My One and Only Love,1953,"Guy Wood, Robert Mellin","Guy Wood, Robert Mellin",https://www.jazzstandards.com/compositions-0/myoneandonlylove.htm
98,'S Wonderful!,1927,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-0/swonderful.htm
99,Smoke Gets in Your Eyes,1933,Jerome Kern,Otto Harbach,https://www.jazzstandards.com/compositions-0/smokegetsinyoureyes.htm
100,Here's That Rainy Day,1953,Jimmy Van Heusen,Johnny Burke,https://www.jazzstandards.com/compositions-0/heresthatrainyday.htm
101,My Old Flame,1934,"Sam Coslow, Arthur Johnston","Sam Coslow, Arthur Johnston",https://www.jazzstandards.com/compositions-1/myoldflame.htm
102,Everything Happens to Me,1941,Matt Dennis,Thomas Adair,https://www.jazzstandards.com/compositions-1/everythinghappenstome.htm
103,My Foolish Heart,1949,Victor Young,Ned Washington,https://www.jazzstandards.com/compositions-1/myfoolishheart.htm
104,Don't Get Around Much Anymore,1942,Duke Ellington,Bob Russell,https://www.jazzstandards.com/compositions-1/dontgetaroundmuchanymore.htm
105,Undecided,1939,Charles Shavers,Sid Robin,https://www.jazzstandards.com/compositions-1/undecided.htm
106,Stormy Weather (Keeps Rainin' All the Time),1933,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-1/stormyweather.htm
107,The Very Thought of You,1934,Ray Noble,Ray Noble,https://www.jazzstandards.com/compositions-1/theverythoughtofyou.htm
108,I Thought About You,1939,Jimmy Van Heusen,Johnny Mercer,https://www.jazzstandards.com/compositions-1/ithoughtaboutyou.htm
109,Avalon,1920,"Al Jolson, BG De Sylva, Vincent Rose","Al Jolson, BG De Sylva, Vincent Rose",https://www.jazzstandards.com/compositions-1/avalon.htm
110,Mack the Knife,1928,Kurt Weill,"Marc Blitzstein, Bertolt Brecht",https://www.jazzstandards.com/compositions-1/macktheknife.htm
111,For All We Know,1934,J. Fred Coots,Sam M. Lewis,https://www.jazzstandards.com/compositions-1/forallweknow.htm
112,Billie's Bounce,1945,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-1/billiesbounce.htm
113,Exactly Like You,1930,Jimmy McHugh,Dorothy Fields,https://www.jazzstandards.com/compositions-1/exactlylikeyou.htm
114,It Might As Well Be Spring,1945,Richard Rodgers,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-1/itmightaswellbespring.htm
115,Nature Boy,1948,Eden Ahbez,Eden Ahbez,https://www.jazzstandards.com/compositions-1/natureboy.htm
116,I Remember You,1942,Victor Schertzinger,Johnny Mercer,https://www.jazzstandards.com/compositions-1/irememberyou.htm
117,Goodbye,1935,Gordon Jenkins,Gordon Jenkins,https://www.jazzstandards.com/compositions-1/goodbye.htm
118,Lover,1932,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-1/lover.htm
119,I Love You,1944,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-1/iloveyou.htm
120,Speak Low,1943,Kurt Weill,Ogden Nash,https://www.jazzstandards.com/compositions-1/speaklow.htm
121,Autumn in New York,1934,Vernon Duke,Vernon Duke,https://www.jazzstandards.com/compositions-1/autumninnewyork.htm
122,Easy to Love,1936,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-1/easytolove.htm
123,This Can't Be Love,1938,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-1/thiscantbelove.htm
124,Little Girl Blue,1935,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-1/littlegirlblue.htm
125,East of the Sun (and West of the Moon),1934,Brooks Bowman,Brooks Bowman,https://www.jazzstandards.com/compositions-1/eastofthesun.htm
126,Bye Bye Blackbird,1926,Ray Henderson,Mort Dixon,https://www.jazzstandards.com/compositions-1/byebyeblackbird.htm
127,If You Could See Me Now,1946,Tadd Dameron,Carl Sigman,https://www.jazzstandards.com/compositions-1/ifyoucouldseemenow.htm
128,Moonglow,1934,"Eddie De Lange, Will Hudson, Irving Mills","Eddie De Lange, Will Hudson, Irving Mills",https://www.jazzstandards.com/compositions-1/moonglow.htm
129,Blue Skies,1927,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-1/blueskies.htm
130,April in Paris,1932,Vernon Duke,Yip Harburg,https://www.jazzstandards.com/compositions-1/aprilinparis.htm
131,Time After Time,1947,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-1/timeaftertime.htm
132,Softly As in a Morning Sunrise,1928,Sigmund Romberg,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-1/softlyasinamorningsunrise.htm
133,But Beautiful,1947,Jimmy Van Heusen,Johnny Burke,https://www.jazzstandards.com/compositions-1/butbeautiful.htm
134,Dinah,1925,Harry Akst,"Sam M. Lewis, Joseph Young",https://www.jazzstandards.com/compositions-1/dinah.htm
135,Days of Wine and Roses,1962,Henry N. Mancini,Johnny Mercer,https://www.jazzstandards.com/compositions-1/daysofwineandroses.htm
136,Solitude,1934,Duke Ellington,"Eddie De Lange, Irving Mills",https://www.jazzstandards.com/compositions-1/solitude.htm
137,When I Fall in Love,1952,Victor Young,Edward Heyman,https://www.jazzstandards.com/compositions-1/whenifallinlove.htm
138,I Remember Clifford,1957,Benny Golson,Jon Hendricks,https://www.jazzstandards.com/compositions-1/irememberclifford.htm
139,I Get a Kick Out of You,1934,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-1/igetakickoutofyou.htm
