Rank,Title,Year,Composer(s),Lyricist(s),URL
422,"Baubles, Bangles and Beads",1953,"Chet Forrest, Robert Craig Wright, Alexander Borodin","Chet Forrest, Robert Craig Wright, Alexander Borodin",https://www.jazzstandards.com/compositions-4/baublesbanglesandbeads.htm
423,Cry Me a River,1953,Arthur Hamilton,Arthur Hamilton,https://www.jazzstandards.com/compositions-4/crymeariver.htm
424,Stablemates,1955,Benny Golson,Benny Golson,https://www.jazzstandards.com/compositions-4/stablemates.htm
425,Travelin' Light,1943,James R Mundy,Johnny Mercer,https://www.jazzstandards.com/compositions-4/travelinlight.htm
426,Blue in Green,1959,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-4/blueingreen.htm
427,A Fine Romance,1936,Jerome Kern,Dorothy Fields,https://www.jazzstandards.com/compositions-4/afineromance.htm
428,I'll Never Smile Again,1939,Ruth Lowe,Ruth Lowe,https://www.jazzstandards.com/compositions-4/illneversmileagain.htm
429,Blue Room,1926,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-4/blueroom.htm
430,Dear Old Stockholm,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-4/dearoldstockholm.htm
431,Why Do I Love You?,1927,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-4/whydoiloveyou.htm
432,Black and Blue,1929,Fats Waller,"Harry Brooks, Andy Razaf",https://www.jazzstandards.com/compositions-4/blackandblue.htm
433,52nd Street Theme,1944,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-4/52ndstreettheme.htm
434,Out of This World,1944,Harold Arlen,Johnny Mercer,https://www.jazzstandards.com/compositions-4/outofthisworld.htm
435,So What,1959,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-4/sowhat.htm
436,Jumpin' At the Woodside,1938,Count Basie,Count Basie,https://www.jazzstandards.com/compositions-4/jumpinatthewoodside.htm
437,Rockin' Chair,1929,Hoagy Carmichael,Hoagy Carmichael,https://www.jazzstandards.com/compositions-4/rockinchair.htm
438,Frenesi,1939,Alberto Dominguez,"Alberto Dominguez, Ray Charles, Bob Russell",https://www.jazzstandards.com/compositions-4/frenesi.htm
439,Something to Live For,1939,"Duke Ellington, Billy Strayhorn","Duke Ellington, Billy Strayhorn",https://www.jazzstandards.com/compositions-4/somethingtolivefor.htm
440,Be-Bop,1944,Dizzy Gillespie,Dizzy Gillespie,https://www.jazzstandards.com/compositions-4/bebop.htm
441,Chloe,1927,Charles N. Daniels,Gus Kahn,https://www.jazzstandards.com/compositions-4/chloe.htm
442,Dream,1945,Johnny Mercer,Johnny Mercer,https://www.jazzstandards.com/compositions-4/dream.htm
443,So in Love (Am I),1948,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-4/soinlove.htm
444,Teach me Tonight,1953,Gene De Paul,Sammy Cahn,https://www.jazzstandards.com/compositions-4/teachmetonight.htm
445,The Night We Called It a Day,1944,"Thomas Adair, Matt Dennis","Thomas Adair, Matt Dennis",https://www.jazzstandards.com/compositions-4/thenightwecalleditaday.htm
446,They Didn't Believe Me,1914,Jerome Kern,Herbert Reynolds,https://www.jazzstandards.com/compositions-4/theydidntbelieveme.htm
447,The Breeze and I,1928,Ernesto Lecuona,Al Stillman,https://www.jazzstandards.com/compositions-4/thebreezeandi.htm
448,Air Mail Special,1941,"Benny Goodman, James R Mundy, Charlie Christian","Benny Goodman, James R Mundy, Charlie Christian",https://www.jazzstandards.com/compositions-4/airmailspecial.htm
449,You Are Too Beautiful,1932,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-4/youaretoobeautiful.htm
450,How About You,1941,Burton Lane,Ralph Freed,https://www.jazzstandards.com/compositions-4/howaboutyou.htm
451,Back in Your Own Backyard,1927,Dave Dreyer,"Al Jolson, Billy Rose",https://www.jazzstandards.com/compositions-4/backinyourownbackyard.htm
452,Don't You Know I Care?,1944,Duke Ellington,Mack David,https://www.jazzstandards.com/compositions-4/dontyouknowicare.htm
453,I'll Be Seeing You,1938,Sammy Fain,Irving Kahal,https://www.jazzstandards.com/compositions-4/illbeseeingyou.htm
454,Who's Sorry Now?,1923,"Bert Kalmar, Ted Snyder",Harry Ruby,https://www.jazzstandards.com/compositions-4/whossorrynow.htm
455,I Could Write a Book,1940,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-4/icouldwriteabook.htm
456,For Heaven's Sake,1946,"Sherman Edwards, Donald Meyer, Elise Bretton","Sherman Edwards, Donald Meyer, Elise Bretton",https://www.jazzstandards.com/compositions-4/forheavenssake.htm
457,Have Yourself a Merry Little Christmas,1944,"Ralph Blane, Hugh Martin","Ralph Blane, Hugh Martin",https://www.jazzstandards.com/compositions-4/haveyourselfamerrylittlechristmas.htm
458,Lady Bird,1947,Tadd Dameron,Tadd Dameron,https://www.jazzstandards.com/compositions-4/ladybird.htm
459,All Too Soon,1940,Duke Ellington,Carl Sigman,https://www.jazzstandards.com/compositions-4/alltoosoon.htm
460,Fools Rush in (Where Angels Fear to Tread),1940,Rube Bloom,Johnny Mercer,https://www.jazzstandards.com/compositions-4/foolsrushin.htm
461,Just A-Sittin' and A-Rockin',1941,"Duke Ellington, Billy Strayhorn",Lee Gaines,https://www.jazzstandards.com/compositions-4/justasittinandarockin.htm
462,Ornithology,1946,"Charlie Parker, Bennie Harris","Charlie Parker, Bennie Harris",https://www.jazzstandards.com/compositions-4/ornithology.htm
463,Beale Street Blues,1916,W.C. Handy,W.C. Handy,https://www.jazzstandards.com/compositions-4/bealestreetblues.htm
464,I Don't Know Why (I Just Do),1931,Fred Ahlert,Roy Turk,https://www.jazzstandards.com/compositions-4/idontknowwhy.htm
465,I've Never Been in Love Before,1950,"Frank Loesser, Paul Harris","Frank Loesser, Paul Harris",https://www.jazzstandards.com/compositions-4/iveneverbeeninlovebefore.htm
466,If I Were a Bell,1950,Frank Loesser,Frank Loesser,https://www.jazzstandards.com/compositions-4/ifiwereabell.htm
467,Our Delight,1946,Tadd Dameron,Tadd Dameron,https://www.jazzstandards.com/compositions-4/ourdelight.htm
468,See See Rider,1943,Ma Rainey,Ma Rainey,https://www.jazzstandards.com/compositions-4/seeseerider.htm
469,Russian Lullaby,1927,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-4/russianlullaby.htm
470,The Good Life,1962,Alexander Sacha Distel,Jack Reardon,https://www.jazzstandards.com/compositions-4/thegoodlife.htm
471,The Folks Who Live on the Hill,1937,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-4/thefolkswholiveonthehill.htm
472,My Man,1921,Maurice Yvain,"Jacques Charles, Channing Pollack, Albert Willemetz",https://www.jazzstandards.com/compositions-4/myman.htm
473,I'll See You in My Dreams,1924,Isham Jones,Gus Kahn,https://www.jazzstandards.com/compositions-4/illseeyouinmydreams.htm
474,The Touch of Your Lips,1936,Ray Noble,Ray Noble,https://www.jazzstandards.com/compositions-4/thetouchofyourlips.htm
475,Ask Me Now,1951,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-4/askmenow.htm
476,"Silent Night, Holy Night",1818,Franz Xaver Gruber,"Joseph Mohr, Mtume",https://www.jazzstandards.com/compositions-4/silentnightholynight.htm
477,Soul Eyes,1957,Mal Waldron,Mal Waldron,https://www.jazzstandards.com/compositions-4/souleyes.htm
478,"Swing Low, Sweet Chariot",rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-4/swinglowsweetchariot.htm
479,The Girl from Ipanema,1963,Antonio Carlos Jobim,"Vinicius De Moraes, Norman Gimbel",https://www.jazzstandards.com/compositions-4/thegirlfromipanema.htm
480,Let's Fall in Love,1933,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-4/letsfallinlove.htm
481,My Man's Gone Now,1935,George Gershwin,DuBose Heyward,https://www.jazzstandards.com/compositions-4/mymansgonenow.htm
482,Runnin' Wild,1922,Arthur H Gibbs,"Joseph W Grey, Leo Wood",https://www.jazzstandards.com/compositions-4/runninwild.htm
483,Anthropology,1946,"Charlie Parker, Dizzy Gillespie","Charlie Parker, Dizzy Gillespie",https://www.jazzstandards.com/compositions-4/anthropology.htm
484,Misterioso,1948,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-4/misterioso.htm
485,When the Sun Comes Out,1941,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-4/whenthesuncomesout.htm
486,Am I Blue,1929,Harry Akst,Grant Clarke,https://www.jazzstandards.com/compositions-4/amiblue.htm
487,I've Got a Crush on You,1930,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-4/ivegotacrushonyou.htm
488,Parker's Mood,1948,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-4/parkersmood.htm
489,Manhattan,1925,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-4/manhattan.htm
490,Manteca,1948,"Walter Gilbert Fuller, Dizzy Gillespie","Walter Gilbert Fuller, Dizzy Gillespie",https://www.jazzstandards.com/compositions-4/manteca.htm
491,If Dreams Come True,1934,"Benny Goodman, Edgar Sampson",Irving Mills,https://www.jazzstandards.com/compositions-4/ifdreamscometrue.htm
492,Old Folks at Home,1851,Stephen Foster,Stephen Foster,https://www.jazzstandards.com/compositions-4/oldfolksathome.htm
493,Panama,1911,William Tyers,William Tyers,https://www.jazzstandards.com/compositions-4/panama.htm
494,Pannonica,1956,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-4/pannonica.htm
495,In Walked Bud,1947,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-4/inwalkedbud.htm
496,My Buddy,1922,Walter Donaldson,Gus Kahn,https://www.jazzstandards.com/compositions-4/mybuddy.htm
497,Evidence,1948,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-4/evidence.htm
498,Shine,1910,Ford Dabney,"Lew Brown, Cecil Mack",https://www.jazzstandards.com/compositions-4/shine.htm
499,Bye Bye Blues,1930,"David Bennett, Chauncey Gray, Frederick L Hamm, Bert Lown","David Bennett, Chauncey Gray, Frederick L Hamm, Bert Lown",https://www.jazzstandards.com/compositions-4/byebyeblues.htm
500,I Didn't Know About You,1944,Duke Ellington,Bob Russell,https://www.jazzstandards.com/compositions-4/ididntknowaboutyou.htm
501,Birth of the Blues,1926,Ray Henderson,"Lew Brown, BG De Sylva",https://www.jazzstandards.com/compositions-5/birthoftheblues.htm
502,Main Stem,1942,Duke Ellington,Duke Ellington,https://www.jazzstandards.com/compositions-5/mainstem.htm
503,"Day In, Day Out",1939,Rube Bloom,Johnny Mercer,https://www.jazzstandards.com/compositions-5/dayindayout.htm
504,Nuages,1939,Django Reinhardt,Jacques Larue,https://www.jazzstandards.com/compositions-5/nuages.htm
505,Sometimes I feel Like a Motherless Child,1918,"Henry Thacker Burleigh, Traditional","Henry Thacker Burleigh, Traditional",https://www.jazzstandards.com/compositions-5/sometimesifeellikeamotherlesschild.htm
506,Emily,1964,"Johnny Mandel, Johnny Mercer","Johnny Mandel, Johnny Mercer",https://www.jazzstandards.com/compositions-5/emily.htm
507,Everybody Loves My Baby,1924,Spencer Williams,Jack Palmer,https://www.jazzstandards.com/compositions-5/everybodylovesmybaby.htm
508,People,1963,Jule Styne,Bob Merrill,https://www.jazzstandards.com/compositions-5/people.htm
509,All Through the Night,1934,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-5/allthroughthenight.htm
510,Move,1949,Denzil Best,Denzil Best,https://www.jazzstandards.com/compositions-5/move.htm
511,Joy Spring,1954,Clifford Brown,Jon Hendricks,https://www.jazzstandards.com/compositions-5/joyspring.htm
512,Waltz for Debby,1964,Bill Evans,Gene Lees,https://www.jazzstandards.com/compositions-5/waltzfordebby.htm
513,At the Jazz Band Ball,1918,"Eddie Edwards, Nick LaRocca, Anthony Sbarbaro, Larry Shields","Eddie Edwards, Nick LaRocca, Anthony Sbarbaro, Larry Shields",https://www.jazzstandards.com/compositions-5/atthejazzbandball.htm
514,Frankie and Johnny,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-5/frankieandjohnny.htm
515,I'm Gonna Sit Right Down and Write Myself a Letter,1935,Fred Ahlert,Joseph Young,https://www.jazzstandards.com/compositions-5/imgonnasitrightdownandwritemyselfaletter.htm
516,Carioca,1933,Vincent Youmans,"Edward Eliscu, Gus Kahn",https://www.jazzstandards.com/compositions-5/carioca.htm
517,When Sunny Gets Blue,1956,Marvin Fisher,Jack Segal,https://www.jazzstandards.com/compositions-5/whensunnygetsblue.htm
518,There's No You,1944,"Thomas Adair, Harold S Hopper","Thomas Adair, Harold S Hopper",https://www.jazzstandards.com/compositions-5/theresnoyou.htm
519,The Peanut Vendor,1928,Moises Simons,"Marion Sunshine, L Wolfe Gilbert",https://www.jazzstandards.com/compositions-5/thepeanutvendor.htm
520,Swinging the Blues,1938,"Count Basie, Eddie Durham","Count Basie, Eddie Durham",https://www.jazzstandards.com/compositions-5/swingingtheblues.htm
521,Don't Take Your Love from Me,1941,Henry Nemo,Henry Nemo,https://www.jazzstandards.com/compositions-5/donttakeyourlovefromme.htm
522,Until I Met You (Corner Pocket),1956,Freddie Green,Donald E Wolf,https://www.jazzstandards.com/compositions-5/untilimetyou.htm
523,Au Privave,1951,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-5/auprivave.htm
524,Smile,1954,Charles Chaplin,"Geoffrey Clarmont Parsons, John Turner",https://www.jazzstandards.com/compositions-5/smile.htm
525,You're Mine You,1933,Johnny Green,Edward Heyman,https://www.jazzstandards.com/compositions-5/youremineyou.htm
526,Last Night When We Were Young,1937,Harold Arlen,Yip Harburg,https://www.jazzstandards.com/compositions-5/lastnightwhenwewereyoung.htm
527,It's Easy to Remember,1935,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-5/itseasytoremember.htm
528,I Gotta Right to Sing the Blues,1932,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-5/igottarighttosingtheblues.htm
529,Bouncin' with Bud,1947,"Walter Gilbert Fuller, Bud Powell","Walter Gilbert Fuller, Bud Powell",https://www.jazzstandards.com/compositions-5/bouncinwithbud.htm
530,The Lamp Is Low,1939,"Peter De Rose, Maurice Joseph Ravel, Bert A Shefter",Mitchell Parish,https://www.jazzstandards.com/compositions-5/thelampislow.htm
531,I'll Get By (As Long As I Have You),1928,Fred Ahlert,Roy Turk,https://www.jazzstandards.com/compositions-5/illgetby.htm
532,Afternoon in Paris,1949,John Lewis,John Lewis,https://www.jazzstandards.com/compositions-5/afternooninparis.htm
533,One Note Samba,1961,Antonio Carlos Jobim,Antonio Carlos Jobim,https://www.jazzstandards.com/compositions-5/onenotesamba.htm
534,(Ooh) What a Little Moonlight Can Do,1934,Harry M Woods,Harry M Woods,https://www.jazzstandards.com/compositions-5/whatalittlemoonlightcando.htm
535,Goin' to Chicago Blues,1941,"Count Basie, Jimmy Rushing","Count Basie, Jimmy Rushing",https://www.jazzstandards.com/compositions-5/gointochicagoblues.htm
536,With a Song in My Heart,1929,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-5/withasonginmyheart.htm
537,Four,1954,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-5/four.htm
538,Nobody Knows the Trouble I've Seen,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-5/nobodyknowsthetroubleiveseen.htm
539,"Bess, You Is My Woman Now",1935,George Gershwin,"Ira Gershwin, DuBose Heyward",https://www.jazzstandards.com/compositions-5/bessyouismywomannow.htm
540,Whispering,1920,John Schonberger,"Malvin Schonberger, Richard Coburn",https://www.jazzstandards.com/compositions-5/whispering.htm
541,Chicago (That Toddlin' Town),1922,Fred Fisher,Fred Fisher,https://www.jazzstandards.com/compositions-5/chicago.htm
542,Monk's Mood,1946,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-5/monksmood.htm
543,Blues in the Closet,1955,Oscar Pettiford,Oscar Pettiford,https://www.jazzstandards.com/compositions-5/bluesinthecloset.htm
544,Sister Sadie,1959,Horace Silver,Horace Silver,https://www.jazzstandards.com/compositions-5/sistersadie.htm
545,Alfie,1966,Burt F Bacharach,Hal David,https://www.jazzstandards.com/compositions-5/alfie.htm
546,Warm Valley,1940,"Duke Ellington, Bob Russell","Duke Ellington, Bob Russell",https://www.jazzstandards.com/compositions-5/warmvalley.htm
547,Darktown Strutters Ball,1917,Shelton Brooks,Shelton Brooks,https://www.jazzstandards.com/compositions-5/darktownstruttersball.htm
548,Blue 'N' Boogie,1944,"Dizzy Gillespie, Frank Paparelli","Dizzy Gillespie, Frank Paparelli",https://www.jazzstandards.com/compositions-5/bluenboogie.htm
549,Cabin in the Sky,1940,Vernon Duke,John Latouche,https://www.jazzstandards.com/compositions-5/cabininthesky.htm
550,Pick Yourself Up,1936,Jerome Kern,Dorothy Fields,https://www.jazzstandards.com/compositions-5/pickyourselfup.htm
551,Then I'll Be Tired of You,1934,Arthur Schwartz,Yip Harburg,https://www.jazzstandards.com/compositions-5/thenillbetiredofyou.htm
552,How Insensitive,1963,Antonio Carlos Jobim,"Vinicius De Moraes, Norman Gimbel",https://www.jazzstandards.com/compositions-5/howinsensitive.htm
553,I Love Paris,1953,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-5/iloveparis.htm
554,Let It Snow! Let It Snow! Let It Snow!,1945,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-5/letitsnowletitsnowletitsnow.htm
555,You Better Go Now,1936,"Robert Graham, Bickley Reichner","Robert Graham, Bickley Reichner",https://www.jazzstandards.com/compositions-5/youbettergonow.htm
556,Struttin' with Some Barbecue,1928,Lillian Hardin Armstrong,Don Raye,https://www.jazzstandards.com/compositions-5/struttinwithsomebarbecue.htm
557,Blue Bossa,1963,Kenny Dorham,Kenny Dorham,https://www.jazzstandards.com/compositions-5/bluebossa.htm
558,Upper Manhattan Medical Group (UMMG),1956,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-5/uppermanhattanmedicalgroup.htm
559,"How Long, How Long Blues",1929,Leroy Carr,Leroy Carr,https://www.jazzstandards.com/compositions-5/howlonghowlongblues.htm
560,After I Say I'm Sorry,1926,"Walter Donaldson, Abe Lyman","Walter Donaldson, Abe Lyman",https://www.jazzstandards.com/compositions-5/afterisayimsorry.htm
561,Young and Foolish,1954,Albert Hague,Arnold B Horwitt,https://www.jazzstandards.com/compositions-5/youngandfoolish.htm
562,Seven Come Eleven,1940,"Benny Goodman, Charlie Christian","Benny Goodman, Charlie Christian",https://www.jazzstandards.com/compositions-5/sevencomeeleven.htm
563,Canadian Sunset,1956,Eddie Heywood,Norman Gimbel,https://www.jazzstandards.com/compositions-5/canadiansunset.htm
564,I Must Have That Man,1928,Jimmy McHugh,Dorothy Fields,https://www.jazzstandards.com/compositions-5/imusthavethatman.htm
565,Moanin',1959,"Jon Hendricks, Bobby Timmons","Jon Hendricks, Bobby Timmons",https://www.jazzstandards.com/compositions-5/moanin.htm
566,Drop Me off in Harlem,1933,Duke Ellington,Nick A Kenny,https://www.jazzstandards.com/compositions-5/dropmeoffinharlem.htm
567,Love You Madly,1950,"Duke Ellington, Billy Strayhorn","Duke Ellington, Billy Strayhorn",https://www.jazzstandards.com/compositions-5/loveyoumadly.htm
568,(I'll Be Glad When You're Dead) You Rascal You,1931,Sam Theard,Sam Theard,https://www.jazzstandards.com/compositions-5/yourascalyou.htm
569,No Moon At All,1948,David A Mann,Redd Evans,https://www.jazzstandards.com/compositions-5/nomoonatall.htm
570,All the Way,1957,Jimmy Van Heusen,Sammy Cahn,https://www.jazzstandards.com/compositions-5/alltheway.htm
571,That's a Plenty,1914,Lew Pollack,Ray Gilbert,https://www.jazzstandards.com/compositions-5/thatsaplenty.htm
572,Detour Ahead,1948,"Lou Carter, Herb Ellis, Johnny Frigo","Lou Carter, Herb Ellis, Johnny Frigo",https://www.jazzstandards.com/compositions-5/detourahead.htm
573,Dedicated to You,1936,"Saul Chaplin, Hy Zaret",Sammy Cahn,https://www.jazzstandards.com/compositions-5/dedicatedtoyou.htm
574,Lonesome Road,1928,Nathaniel Shilkret,Gene Austin,https://www.jazzstandards.com/compositions-5/lonesomeroad.htm
575,"A-Tisket, A-Tasket",1938,"Van Alexander, Ella Fitzgerald","Van Alexander, Ella Fitzgerald",https://www.jazzstandards.com/compositions-5/atisketatasket.htm
576,Moment's Notice,1957,John Coltrane,John Coltrane,https://www.jazzstandards.com/compositions-5/momentsnotice.htm
577,Walkin' My Baby Back Home,1930,Fred Ahlert,Roy Turk,https://www.jazzstandards.com/compositions-5/walkinmybabybackhome.htm
578,Alexander's Ragtime Band,1911,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-5/alexandersragtimeband.htm
579,Everything I Have Is Yours,1933,Burton Lane,Harold Adamson,https://www.jazzstandards.com/compositions-5/everythingihaveisyours.htm
580,Penthouse Serenade,1931,"Val Burton, Will Jason","Val Burton, Will Jason",https://www.jazzstandards.com/compositions-5/penthouseserenade.htm
581,Lulu's Back in Town,1935,Harry Warren,Al Dubin,https://www.jazzstandards.com/compositions-5/lulusbackintown.htm
582,How Am I to Know?,1929,"Jack King, Dorothy Parker","Jack King, Dorothy Parker",https://www.jazzstandards.com/compositions-5/howamitoknow.htm
583,Just a Gigolo,1930,Leonello Casucci,"Julius Brammer, Irving Caesar",https://www.jazzstandards.com/compositions-5/justagigolo.htm
584,My Heart Belongs to Daddy,1938,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-5/myheartbelongstodaddy.htm
585,Cocktails for Two,1934,Arthur Johnston,Sam Coslow,https://www.jazzstandards.com/compositions-5/cocktailsfortwo.htm
586,Lullaby in Rhythm,1938,"Benny Goodman, Edgar Sampson, Clarence Profit",Walter Hirsch,https://www.jazzstandards.com/compositions-5/lullabyinrhythm.htm
587,My Little Suede Shoes,1951,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-5/mylittlesuedeshoes.htm
588,Christopher Columbus,1936,Leon Brown Berry,Andy Razaf,https://www.jazzstandards.com/compositions-5/christophercolumbus.htm
589,Dear Old Southland,1921,Turner Layton,Henry Creamer,https://www.jazzstandards.com/compositions-5/dearoldsouthland.htm
590,This Love of Mine,1941,"Henry W Sanicola, Sol Parker",Frank Sinatra,https://www.jazzstandards.com/compositions-5/thisloveofmine.htm
591,Maria,1957,Leonard Bernstein,Stephen Sondheim,https://www.jazzstandards.com/compositions-5/maria.htm
592,Beautiful Love,1931,"Wayne King, Egbert Van Alstyne, Victor Young",Haven Gillespie,https://www.jazzstandards.com/compositions-5/beautifullove.htm
593,Somebody Stole My Gal,1918,Leo Wood,Leo Wood,https://www.jazzstandards.com/compositions-5/somebodystolemygal.htm
594,Blues in My Heart,1931,"Benny Carter, Irving Mills","Benny Carter, Irving Mills",https://www.jazzstandards.com/compositions-5/bluesinmyheart.htm
595,Dearly Beloved,1942,Jerome Kern,Johnny Mercer,https://www.jazzstandards.com/compositions-5/dearlybeloved.htm
596,You Must Believe in Spring,1967,Michel Jean Legrand,"Alan Bergman, Marilyn Bergman, Jacques Louis Demy",https://www.jazzstandards.com/compositions-5/youmustbelieveinspring.htm
597,9:20 Special,1941,Earl Warren,Earl Warren,https://www.jazzstandards.com/compositions-5/920special.htm
598,The Song Is Ended,1927,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-5/thesongisended.htm
599,The Preacher,1956,Horace Silver,Horace Silver,https://www.jazzstandards.com/compositions-5/thepreacher.htm
600,Red Sails in the Sunset,1935,Hugh Williams,James B Kennedy,https://www.jazzstandards.com/compositions-5/redsailsinthesunset.htm
601,Shaw Nuff,1945,"Dizzy Gillespie, Charlie Parker","Dizzy Gillespie, Charlie Parker",https://www.jazzstandards.com/compositions-6/shawnuff.htm
602,Blueberry Hill,1940,"Al Lewis, Vincent Rose, Larry Stock","Al Lewis, Vincent Rose, Larry Stock",https://www.jazzstandards.com/compositions-6/blueberryhill.htm
603,Birk's Works,1957,Dizzy Gillespie,Dizzy Gillespie,https://www.jazzstandards.com/compositions-6/birksworks.htm
604,Love Dance,1980,"Paul Williams, Ivan Lins, Victor Martins","Paul Williams, Ivan Lins, Victor Martins",https://www.jazzstandards.com/compositions-6/lovedance.htm
605,The Peacocks,1975,Jimmy Rowles,Jimmy Rowles,https://www.jazzstandards.com/compositions-6/thepeacocks.htm
606,Sunny,1966,Bobby Hebb,Bobby Hebb,https://www.jazzstandards.com/compositions-6/sunny.htm
607,Who,1925,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-6/who.htm
608,The Summer Knows,1971,Michel Jean Legrand,"Alan Bergman, Marilyn Bergman",https://www.jazzstandards.com/compositions-6/thesummerknows.htm
609,Watermelon Man,1963,Herbie Hancock,Herbie Hancock,https://www.jazzstandards.com/compositions-6/watermelonman.htm
610,Goodbye Pork Pie Hat,1959,Charles Mingus,Charles Mingus,https://www.jazzstandards.com/compositions-6/goodbyeporkpiehat.htm
611,Girl Talk,1965,Neal Hefti,Bobby Troup,https://www.jazzstandards.com/compositions-6/girltalk.htm
612,Cherry,1928,Don Redman,"Ray Gilbert, Don Redman",https://www.jazzstandards.com/compositions-6/cherry.htm
613,Weary Blues,1915,Artie Matthews,"Mort Greene, George Cates",https://www.jazzstandards.com/compositions-6/wearyblues.htm
614,Tin Roof Blues,1923,"Paul Joseph Mares, Ben Pollack, Melville J Stitzel, George Brunies, Leon Roppolo",Walter Melrose,https://www.jazzstandards.com/compositions-6/tinroofblues.htm
615,Tico Tico (Tico No Fuba),1943,Jose Gomes De Abreu,"Aloysio Oliveira, Ervin Drake",https://www.jazzstandards.com/compositions-6/ticotico.htm
616,Let's Face the Music and Dance,1935,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-6/letsfacethemusicanddance.htm
617,Nagasaki,1928,Harry Warren,Mort Dixon,https://www.jazzstandards.com/compositions-6/nagasaki.htm
618,Footprints,1966,Wayne Shorter,Wayne Shorter,https://www.jazzstandards.com/compositions-6/footprints.htm
619,Yesterday,1965,"John Lennon, Paul McCartney","John Lennon, Paul McCartney",https://www.jazzstandards.com/compositions-6/yesterday.htm
620,Too Late Now,1950,Burton Lane,Alan Jay Lerner,https://www.jazzstandards.com/compositions-6/toolatenow.htm
621,'Tis Autumn,1941,Henry Nemo,Henry Nemo,https://www.jazzstandards.com/compositions-6/tisautumn.htm
622,Nancy (with the Laughing Face),1944,Jimmy Van Heusen,Phil Silvers,https://www.jazzstandards.com/compositions-6/nancy.htm
623,Tin Tin Deo,1947,"Walter Gilbert Fuller, Chano Pozo","Walter Gilbert Fuller, Chano Pozo",https://www.jazzstandards.com/compositions-6/tintindeo.htm
624,"Sing, Sing, Sing",1936,Louis Prima,Louis Prima,https://www.jazzstandards.com/compositions-6/singsingsing.htm
625,I Mean You,1947,"Coleman Hawkins, Thelonious Monk","Coleman Hawkins, Thelonious Monk",https://www.jazzstandards.com/compositions-6/imeanyou.htm
626,I May Be Wrong,1929,Henry Sullivan,Harry Ruskin,https://www.jazzstandards.com/compositions-6/imaybewrong.htm
627,Barbados,1948,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-6/barbados.htm
628,Killer Joe,1959,Benny Golson,Benny Golson,https://www.jazzstandards.com/compositions-6/killerjoe.htm
629,Azure,1937,Duke Ellington,Irving Mills,https://www.jazzstandards.com/compositions-6/azure.htm
630,On a Slow Boat to China,1948,Frank Loesser,Frank Loesser,https://www.jazzstandards.com/compositions-6/onaslowboattochina.htm
631,Some Other Spring,1939,Irene Kitchings,Arthur Herzog Jr.,https://www.jazzstandards.com/compositions-6/someotherspring.htm
632,Can't We Be Friends,1929,Kay Swift,Paul James,https://www.jazzstandards.com/compositions-6/cantwebefriends.htm
